1002	槐荫	81	1600
1003	天桥	50	1200
1004	历下	115	3000
1005	槐荫	156	4300
1006	槐荫	86	1800
1007	槐荫	30	500
1008	天桥	49	1800
1009	历下	60	1580
1010		25	500
1011	槐荫	59	1500
1012	市中	64	3000
1013	槐荫	68	2000
1014	天桥	13	650
1015	历下	38	1500
1016	历下	48	1500
1017	历下	40	1300
1018	历下	50	1500
1019	天桥	60	2200
1020	槐荫	80	2400
1021	槐荫	94	2400
1022	市中	97	2500
1023	市中	92	3000
1024	市中	91	2800
1025	槐荫	90	2850
1026	天桥	75	2700
1027	槐荫	97	1200
1028	高新	50	2199
1029	高新	126	3000
1030	天桥	50	1350
1031	历下	60	2200
1032	高新	81	2800
1033	历城	30	1100
1034	槐荫	60	1500
1035	槐荫	92	1700
1036	天桥	32	700
1037	历城	91	1400
1038	高新	20	650
1039	槐荫	120	3100
1040	高新	23	700
1041	市中	172	4500
1042	历城	150	2200
1043	历下	80	2400
1044	历城	30	1100
1045	槐荫	60	1500
1046	槐荫	92	1700
1047	长清	99	1300
1048	槐荫	30	650
1049	市中	64	3000
1050	天桥	70	1200
1051	历城	160	380
1052	市中	68	1500
1053	槐荫	42	1500
1054	历城	20	950
1055	市中	98	3000
1056	槐荫	94	2500
1057	市中	55	1750
1058	历下	60	1900
1059	历城	20	650
1060	槐荫	115	2000
1061	历城	85	1600
1062	槐荫	60	1500
1063	长清	93	1000
1064	高新	1600	4200
1065	槐荫	107	1500
1066	历城	97	2000
1067	历城	97	2500
1068	市中	64	3000
1069	天桥	36	1300
1070	天桥	50	1300
1071	历下	17	500
1072	高新	92	2600
1073	天桥	71	1000
1074	历下	95	580
1075	历下	220	5800
1076	市中	60	1900
1077	槐荫	56	2300
1078	槐荫	174	5000
1079	历城	86	1700
1080	槐荫	90	1300
1081	历城	78	1000
1082	历城	18	600
1083	历下	70	1300
1084	槐荫	126	1200
1085	市中	30	450
1086	天桥	50	800
1087	历下	110	3000
1088	历城	84	2700
1089	高新	47	1800
1090	天桥	73	2450
1091	长清	71	1690
1092	槐荫	110	3300
1093	历下	20	750
1094	历下	80	2400
1095	槐荫	93	3200
1096	槐荫	131	3000
1097	市中	60	1600
1098	历下	30	1000
1099	高新	20	800
1100	历下	115	2500
